school,student,sex,score1,score2
20920,27,1,39,76.8
20920,31,1,36,87.9
20920,42,0,16,44.4
20920,101,1,49,89.8
20920,113,0,25,17.5
22520,1,1,48,84.2
22520,7,0,46,66.6
22520,9,1,28,47.2
22520,15,1,43,80.5
22520,16,0,29,57.4
22520,18,1,25,42.5
22520,21,0,30,36.1
22520,24,1,44,58.3
22520,25,0,30,37.9
22520,27,1,26,74
22520,29,0,30,41.6
22520,34,1,39,76.8
22520,37,1,41,34.2
22520,41,1,44,86.1
22520,42,0,36,56.4
22520,43,1,45,42.5
22520,45,1,41,63.8
22520,47,1,28,20.3
22520,52,1,31,51.8
22520,55,1,51,76.8
22520,57,0,51,65.7
22520,60,1,38,56.4
22520,63,0,44,75.9
22520,64,1,41,76.8
22520,66,1,32,66.6
22520,67,0,41,31.4
22520,69,0,36,51.8
22520,78,1,13,28.7
22520,83,0,34,46.2
22520,84,1,23,51.8
22520,85,1,26,66.6
22520,87,1,36,79.6
22520,90,1,25,39.8
22520,91,0,33,47.2
22520,104,0,31,62.9
22520,106,0,33,40.7
22520,108,1,57,90.7
22520,110,0,26,51.8
22520,111,1,33,54.6
22520,112,1,45,95.3
22520,115,0,3.1,9.25
22520,121,1,27,26.8
22520,128,0,23,50
22520,131,0,39,44.4
22520,134,0,64,59.2
22520,143,1,53,87.9
22520,144,1,46,93.5
22520,146,1,40,75.9
22520,153,0,28,26.8
22520,157,1,27,61.1
22520,163,1,40,54.6
22520,164,1,39,76.8
22520,170,1,30,80.5
22520,177,1,32,41.6
22520,178,1,26,60.1
22520,181,1,35,53.7
22710,11,0,41,91.6
22710,46,0,36,94.4
22710,49,0,55,94.4
22710,57,1,11,73.1
22710,58,0,33,80.5
22710,77,1,0.6,41.6
22710,79,1,31,93.5
22710,84,1,41,90.7
22710,90,0,21,60.1
22710,102,1,26,82.4
22710,103,1,30,82.4
22710,109,0,35,78.7
22710,169,1,55,94.4
22738,7,1,43,75
22738,32,0,53,58.3
22738,87,0,51,82.4
22738,106,1,59,75
22738,119,0,58,80.5
22738,159,1,50,82.4
22738,173,0,63,60.1
22738,203,0,49,69.4
22908,6,1,55,62
22908,17,0,61,83.3
22908,69,1,60,71.2
23208,1,1,60,84.2
23208,9,1,33,95.3
23208,11,1,44,78.7
23208,12,1,45,38.8
23208,13,0,58,88.8
23208,18,1,36,78.7
23208,28,1,38,90.7
23208,30,0,76,78.7
23208,31,1,33,87
23208,37,1,45,78.7
23208,39,1,49,83.3
23208,40,0,82,69.4
23208,43,1,44,56.4
23208,46,1,48,91.6
23208,48,1,58,82.4
23208,53,1,52,80.5
23208,60,1,52,83.3
23208,61,1,26,80.5
23208,65,1,43,83.3
23208,80,0,76,80.5
25241,5049,0,67,67.5
25241,5111,0,64,72.2
25241,5146,0,68,72.2
30474,8,0,71,89.8
30474,12,0,61,95.3
30474,18,0,30,87
30474,20,0,48,56.4
30474,27,0,55,75
30474,34,0,68,77.7
30474,45,0,62,76.8
30474,46,0,80,79.6
30474,49,0,56,67.5
30474,54,0,64,87.9
30474,62,0,53,89.8
30474,80,0,68,98.1
30474,83,0,71,90.7
30474,89,0,60,78.7
30474,97,0,63,84.2
30474,100,0,39,74
30474,104,0,66,83.3
30474,106,0,63,81.4
30474,107,0,53,87.9
30474,116,1,36,64.8
30474,118,1,43,61.1
30474,132,1,61,76.8
30474,152,1,46,66.6
30474,157,1,51,75
30474,163,1,79,86.1
30474,186,1,41,94.4
30474,187,1,79,98.1
30474,190,1,53,93.5
30474,192,1,65,97.2
30474,194,1,46,85.1
30474,197,1,53,88.8
30474,203,1,51,86.1
30474,208,1,40,85.1
35270,13,1,46,62
35270,14,1,46,56.4
35270,27,1,64,69.4
35270,28,0,28,50
35270,29,1,63,69.4
35270,33,1,46,59.2
35270,34,0,55,67.5
35270,40,0,65,58.3
35270,46,0,52,48.1
37224,5,1,52,58.3
37224,9,0,40,64.8
37224,12,1,59,62
37224,14,0,48,68.5
37224,24,0,44,59.2
37224,26,1,50,61.1
37224,36,0,59,87
37224,40,1,35,70.3
37224,53,0,48,38.8
37224,68,0,31,71.2
37224,73,1,28,65.7
37224,77,1,52,50.9
37224,81,0,37,51.8
37224,88,0,60,70.3
37224,106,0,40,55.5
37224,110,1,37,63.8
37224,116,0,51,75.9
37224,122,0,26,65.7
37224,124,0,43,73.1
37224,143,1,51,78.7
37224,144,0,53,73.1
37224,145,0,52,57.4
37224,148,1,44,75
37224,154,0,46,69.4
37224,157,1,43,51.8
37224,185,1,55,75.9
37224,189,0,46,71.2
37224,200,1,44,73.1
37224,203,0,68,73.1
37224,204,0,41,62.9
37224,221,0,41,69.4
37224,231,0,30,65.7
37224,265,1,48,80.5
37224,268,1,49,68.5
37224,282,0,51,61.1
37224,293,1,44,65.7
37224,295,1,43,46.2
47627,93,1,46,67.5
47627,97,1,53,69.4
47627,101,0,71,75
47627,105,0,37,58.3
47627,106,0,50,17.5
47627,107,0,70,67.5
50627,8,0,57,60.1
50627,40,0,62,57.4
50627,52,0,50,54.6
50627,53,0,39,31.4
50627,57,0,41,50
50627,69,0,45,55.5
50627,76,0,49,33.3
50627,81,0,45,52.7
50627,86,0,62,55.5
50627,94,0,46,48.1
50627,96,0,58,35.1
50627,107,1,40,58.3
50627,109,1,48,81.4
50627,122,1,41,61.1
50627,128,1,71,72.2
50627,148,1,46,63.8
50627,152,1,30,47.2
50627,161,1,30,60.1
50627,183,1,52,59.2
50631,5014,1,43,78.7
50631,5026,0,48,72.2
50631,5030,1,58,83.3
50631,5034,1,48,79.6
50631,5037,1,38,83.3
50631,5041,0,73,96.2
50631,5055,1,48,100
50631,5056,0,52,98.1
50631,5058,1,64,98.1
50631,5060,1,43,99
50631,5070,0,56,80.5
50631,5086,1,45,98.1
50631,5105,1,65,100
50631,5110,1,49,94.4
50631,5140,1,28,75
50631,5151,1,50,100
50631,5168,1,40,98.1
50631,5177,0,60,94.4
